2021-06-04 13:54:01.130	     0x11894ee00	INFO	logging	contrib/epee/src/mlog.cpp:273	New log categories: *:WARNING,net:FATAL,net.http:FATAL,net.ssl:FATAL,net.p2p:FATAL,net.cn:FATAL,daemon.rpc:FATAL,global:INFO,verify:FATAL,serialization:FATAL,daemon.rpc.payment:ERROR,stacktrace:INFO,logging:INFO,msgwriter:INFO
2021-06-05 14:00:23.586	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:13887	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2021-06-05 14:00:23.586	[RPC0]	WARNING	net.http	src/wallet/wallet_errors.h:929	/Users/harrisonhesslink/Equilibria/src/wallet/wallet2.cpp:13887:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = get_transaction_pool_hashes.bin
2021-06-05 14:00:23.586	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:131	Exception at while refreshing, what=no connection to daemon
2021-06-05 14:00:23.630	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-05 14:16:10.599	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:352	Unexpected recv fail
2021-06-05 14:16:10.600	[RPC0]	INFO	net.http	contrib/epee/include/storages/http_abstract_invoke.h:53	Failed to invoke http request to  /get_transaction_pool_hashes.bin
2021-06-05 14:16:10.600	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:13887	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2021-06-05 14:16:10.600	[RPC0]	WARNING	net.http	src/wallet/wallet_errors.h:929	/Users/harrisonhesslink/Equilibria/src/wallet/wallet2.cpp:13887:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = get_transaction_pool_hashes.bin
2021-06-05 14:16:10.600	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:131	Exception at while refreshing, what=no connection to daemon
2021-06-05 14:16:10.631	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-05 14:35:46.933	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:352	Unexpected recv fail
2021-06-05 14:35:46.934	[RPC0]	INFO	net.http	contrib/epee/include/storages/http_abstract_invoke.h:53	Failed to invoke http request to  /get_transaction_pool_hashes.bin
2021-06-05 14:35:46.934	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:13887	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2021-06-05 14:35:46.934	[RPC0]	WARNING	net.http	src/wallet/wallet_errors.h:929	/Users/harrisonhesslink/Equilibria/src/wallet/wallet2.cpp:13887:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = get_transaction_pool_hashes.bin
2021-06-05 14:35:46.934	[RPC0]	ERROR	wallet.rpc	src/wallet/wallet_rpc_server.cpp:131	Exception at while refreshing, what=no connection to daemon
2021-06-05 14:35:46.965	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-05 14:39:13.889	[RPC0]	ERROR	net.http	contrib/epee/include/net/http_client.h:352	Unexpected recv fail
2021-06-05 14:39:13.890	[RPC0]	INFO	net.http	contrib/epee/include/storages/http_abstract_invoke.h:53	Failed to invoke http request to  /get_transaction_pool_hashes.bin
2021-06-05 14:39:13.890	[RPC0]	ERROR	wallet.wallet2	src/wallet/wallet2.cpp:13887	!r. THROW EXCEPTION: tools::error::no_connection_to_daemon
2021-06-05 14:39:13.890	[RPC0]	WARNING	net.http	src/wallet/wallet_errors.h:929	/Users/harrisonhesslink/Equilibria/src/wallet/wallet2.cpp:13887:N5tools5error23no_connection_to_daemonE: no connection to daemon, request = get_transaction_pool_hashes.bin
2021-06-05 14:39:13.890	[RPC0]	DEBUG	net.http	contrib/epee/include/net/http_client.h:246	Reconnecting...
2021-06-05 23:08:03.446	[SRV_MAIN]	INFO	net.http	contrib/epee/include/net/http_server_impl_base.h:103	net_service loop stopped.
2021-06-05 23:08:03.447	[SRV_MAIN]	WARNING	wallet.rpc	src/wallet/wallet_rpc_server.cpp:4613	Stopped wallet RPC server
2021-06-05 23:08:03.447	[SRV_MAIN]	WARNING	wallet.rpc	src/wallet/wallet_rpc_server.cpp:4616	Saving wallet...
2021-06-05 23:08:03.447	[SRV_MAIN]	WARNING	wallet.rpc	src/wallet/wallet_rpc_server.cpp:4618	Successfully saved
